word1,word2
bird,园丁鸟
rodent,斑鼠科
furniture,凳
fruit,皮爾站
mammal,鼬科
flora,化肥
mammal,哺乳动物学
tree,接骨木
bird,笑翠鳥屬
chemical_substance,甲醇
flora,角苔纲
bird,海鳥
athletics,棒球
bird,鸣禽
fruit,假种皮
rodent,鳞尾松鼠科
herb,琉璃苣
drug,麻醉藥
athletics,手球
tree,植物园
herb,美人蕉
weapon,刀鞘
trait,亡命驾驶
fauna,鱷科
house,平房
bird,鸠鸽科
mammal,异兽亚纲
drink,黄酒
weapon,劍
fauna,蠍子
tree,大风子
hand_tool,叉
mammal,蜂巢胃
fauna,恐龙
bird,日鷉科
building,无太平门的建筑物
athletics,摔跤
mammal,牛科
fauna,蜂族
vehicle,机车
building,要塞
food,消化作用
musical_instrument,薩克斯風
food,食用鱼
flora,鹰嘴豆
fauna,后生动物
science,科学家
reptile,有鳞目
inference,推定與視為
fauna,原尾目
tree,蝗蟲
flora,止賺止蝕
feeling,许愿
herb,报春花
mammal,狮虎兽
bird,塚雉
fauna,脊椎动物
flora,植结石
bird,环颈雉
tree,龙血
symptom,打喷嚏
bird,樞機紅
linguistics,语音学
artist,刻蚀机
bird,斑鸠
tree,夾竹桃
tree,南洋杉
performer,艺人
wind_instrument,陶笛
feeling,石頭人
weapon,船首
symptom,高钠血症
linguistics,音
musical_instrument,大键琴
crustacean,顎足綱
bird,美洲蛇鸟
musical_instrument,弱音器
building,餐厅
herb,人蔘屬
vertebrate,鸟
herb,秋葵
bird,鹟鴷科
reptile,幻龍目
bird,天鸽座
drink,伏特加
weapon,法案
rodent,睡鼠
garment,毛衣
building,扇形車庫
weapon,刺刀
berry,鷸鴕
bird,鹬
bird,油鸱
athletics,地擲球
hand_tool,皮搋子
athletics,威龙二世
food,生麵團
statement,引用
tree,侧柏
fauna,浮游动物
symptom,糖尿
herb,五角星花
bird,伯劳科
tree,鹅耳枥
building,靶恩
weapon,小刀
fruit,黑莓
hand_tool,刮刀
trait,角色
artist,北齋撞擊坑
drug,抗炎性
musical_instrument,船首
percussion_instrument,鐵三角
science,解釋學
flora,银杏
house,窝棚
weapon,琴弓
symptom,低血钾症
herb,蜜蜂花属
linguistics,世界语
tree,楝科
percussion_instrument,钹
performer,变戏法的人
science,會議
fruit,长角果
mammal,臭鼬科
bird,嘉鲁达
musical_instrument,沙锤
emotion,同理心
chemical_substance,试剂
fauna,沙石场
science,地理信息科學
vehicle,滑雪车
garment,泳装
herb,薑
feeling,語感
linguistics,语源学
hand_tool,浮
flora,银杏属
herb,苋属
food,炖肉
bird,凤冠雉科
inference,广义化
crustacean,螯蝦下目
musical_instrument,恐怖游轮
performer,舞蹈家
herb,酢漿草屬
fruit,橡子
fruit,奥兰治站
bird_of_prey,隼形目
mammal,皮翼目
mammal,鼹鼠的故事
musical_instrument,萨克管
bird,維加鳥
reptile,中龙目
rodent,仓鼠
fruit,皮尔區
furniture,帽架
herb,峨
linguistics,聲調
bird,鹦形目
flora,裸子植物
percussion_instrument,擊木
game,百家乐
food,辣
mammal,阴囊
bird,金丝燕
reptile,鳄目
reptile,楯齒龍目
crustacean,無螯下目
food,超级市场
symptom,便秘
mammal,蹄
artist,音乐家
vehicle,自行车
feeling,庞姓
chemical_substance,抗生素
tree,榕屬
tree,伐木
symptom,高胆固醇血症
musical_instrument,手风琴
symptom,飛蚊症
athletics,冰壶
fauna,异涡虫
building,圣殿塔
herb,胡萝卜
rodent,长爪沙鼠
statement,数学公式
weapon,盔甲
science,药理
tree,臭椿属
rodent,長尾豚鼠
athletics,马拉松选手
tree,树皮
trait,信任
trait,托拉斯
hand_tool,扳手
vertebrate,四足類
rodent,大家鼠
vehicle,雪上摩托車
science,埃及学
rodent,紅冠樹鼠
mammal,兔
food,醬
game,飛鏢
herb,茴芹
mammal,全棱獸
linguistics,形式语义学
linguistics,语义学
herb,白毛茛
hand_tool,刨
herb,虎耳草
flora,苔藓植物门
symptom,咳血
mammal,犰狳科
science,免疫学
science,音响
fauna,肝臟
tree,龙血树属
mammal,哺乳动物
herb,草莓
fruit,分裂果
musical_instrument,卡利俄佩
reptile,石化蜥蜴
feeling,灵魂
athletics,滑冰
science,事實
herb,薄荷
weapon,弹弓
herb,莴苣
inference,推论
bird,扇尾鸽
herb,天蓝绣球属
science,数学
anger,激昂
artist,现代主义
hand_tool,杂草弥天大谎
symptom,脓肿
vehicle,鐵路機車
science,学习
drink,乳
bird,笨人
herb,夹竹桃
flora,孢子囊
tree,瓜马
mammal,塔斯克
mammal,犬
tree,鼠李属
herb,甜菊屬
bird,山雀科
musical_instrument,笛
bird_of_prey,鸢属
fauna,原肠
bird,天鹅
house,农家
hand_tool,鏟子
fauna,软舌螺动物门
building,巨筒
artist,建构主义
fauna,微颚动物
crustacean,槳足綱
mammal,稻田猬
mammal,安氏中獸
drug,氯胺酮
vehicle,黄包车
flora,麦田
flora,青苔：死亡異域
herb,蔬菜
bird_of_prey,厄恩
symptom,低血糖
building,中鋒
furniture,装修
drug,氟硝西泮
percussion_instrument,响板
reptile,龜
food,海鲜
furniture,表
bird_of_prey,畸鳥
garment,衬衫
science,空气动力学
hand_tool,槌
symptom,腹瀉
musical_instrument,低音提琴
fauna,铁血战士
trait,智慧
musical_instrument,品
game,圆场
hand_tool,鹤嘴锄
fruit,裂开
drug,增效剂
herb,起毛草
flora,禾草
vertebrate,爬行动物
game,恰图兰卡
linguistics,音韵学
feeling,冰上悍將
reptile,甲賀忍法帖
musical_instrument,喇叭
chemical_substance,炸药
bird_of_prey,鱼鹰
vehicle,飞机
tree,世界之树
fauna,幼虫
percussion_instrument,颤音琴
fruit,盖果
garment,圍巾
fruit,橙
flora,黃化現象
athletics,滑雪板
herb,金鸡菊属
tree,石榴
bird,鹰
herb,盐生草属
building,会所
herb,苦苣
tree,合欢属
food,巴斯德消毒法
tree,刺桐
trait,自我中心
tree,柳树
percussion_instrument,编磬
crustacean,無甲目
symptom,利尿
bird,鲸头鹳
vertebrate,有颌类
symptom,厌食
reptile,鳥鱷科
game,快艇骰子
rodent,长耳豚鼠属
hand_tool,史克威爾
science,金融界功能界別
building,尼姑庵
athletics,五项全能
bird,雁族
flora,有胚植物
herb,茄
symptom,低钙血症
bird,笑翠鸟
science,协同作用
crustacean,海螯蝦
mammal,猎豹
bird,雉科
bird,芬奇
trait,自然
fauna,恐龍
bird,夜鹰属
flora,葵花
building,營房
bird,芬治站
statement,庭
drink,檸檬水
rodent,單齒鼩形鼠屬
artist,卡拉瓦乔
bird,蕉鵑
tree,突破斧
feeling,感谢
mammal,反刍动物
symptom,假性脑膜炎
bird,海雀科
tree,榛属
tree,栗
tree,金合欢
mammal,鼠科
herb,毛蕊花
tree,肉豆蔻
flora,树皮
athletics,魔鬼二世
flora,车前子
building,函式庫
athletics,盛裝舞步
fauna,水螅纲
flora,月亮与狩猎女神
bird_of_prey,鷹鵰屬
mammal,滑距骨目
mammal,鼩鼱科
flora,嗉囊
science,林业
reptile,大鼻龍屬
feeling,受難曲
flora,真叶植物
bird,企鵝
herb,竹芋
athletics,马术
drug,己酮可可碱
bird,卷尾科
game,井字脚趾
herb,迷迭香
building,顳
rodent,鼫
musical_instrument,马拉卡
tree,花楸
rodent,跳鼠科
musical_instrument,拨弄
symptom,泡吧
herb,勿忘我
tree,橡木
building,妓院
rodent,壟鼠屬
bird,犀鸟
tree,灰分
furniture,巢
flora,蕎麥
chemical_substance,药物
science,冶金学
mammal,喉头盖
emotion,影响
percussion_instrument,鼓
tree,榕亞屬
game,将棋
linguistics,词典学
rodent,稻鼠屬
flora,頂囊蕨
bird,反嘴鹬科
bird_of_prey,隼科
chemical_substance,中间
building,罩帳
bird,鲣鸟
reptile,蜥蜴
science,生理学
fauna,草食动物
chemical_substance,丁酰肼
tree,银杏
bird,鹳形目
vehicle,廂型車
science,技术
tree,黄檀木
science,力学
emotion,愛
symptom,血小板增多症
athletics,跳伞
science,歐幾里得衛星
building,库
bird,朱鷺亞科
bird,在
herb,栽培菊苣
science,地理
crustacean,地蝦目
science,化石
science,密码学
science,遗传学
symptom,屁
tree,登录
mammal,大象
building,长老会
flora,款冬
vehicle,單輪車
bird,灵
science,电子学
rodent,豚鼠科
tree,纸
vertebrate,鼻
bird,鹭
mammal,雕齒獸
building,劇場
rodent,刺鼠
herb,斑鸠菊属
building,宿舍
bird,戴胜
flora,岩生植物
